,0 dose,0 dose stddev,90 dose,90 dose stddev,270 dose,270 dose stddev
0,0.005712636325439083,0.002015744525584749,0.0,0.0,0.0,0.0
1,0.0033466154931105253,0.0018326562455054174,0.0,0.0,0.0,0.0
2,0.012036402090421673,0.0039015488969465183,0.0,0.0,0.0,0.0
3,0.02069120022801548,0.00434157692241059,0.0,0.0,0.0,0.0
4,0.03998592211567792,0.008607323010305996,0.0,0.0,0.0,0.0
5,0.05323999009548477,0.004553245199578204,0.0,0.0,0.0,0.0
6,0.018716444524823357,0.0045451793943218615,0.0,0.0,0.0,0.0
7,0.02897768230581385,0.007238445843607273,0.0,0.0,0.0,0.0
8,0.048134328162794275,0.0074623392150082075,0.0,0.0,0.0,0.0
9,0.054696612005097796,0.009809775075449122,0.0,0.0,0.32001232778662636,0.032966195219290256
10,0.06366411783924796,0.005400645943403075,0.0,0.0,0.2482652723173003,0.03360271925179161
11,0.0993177681055955,0.01583444222186769,0.0,0.0,0.22017626545342786,0.05164617287041115
12,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0
